dp;0;6;13;0,77815125;0,77815125;interest
billboard;0;6;10;0,77815125;0,77815125;gnp
lebanes;0;6;4;0,77815125;0,77815125;coffee
attain;0;6;12;0,77815125;0,77815125;grain
vt;0;6;5;0,77815125;0,77815125;corn
nzfe;0;6;19;0,77815125;0,77815125;reserves
cruz;0;6;24;0,77815125;0,77815125;veg-oil
formosa;0;6;19;0,77815125;0,77815125;reserves
haubourdin;0;6;10;0,77815125;0,77815125;gnp
eic;0;6;12;0,77815125;0,77815125;grain
landing;0;6;12;0,77815125;0,77815125;grain
skew;0;6;22;0,77815125;0,77815125;sugar
simex;0;6;4;0,77815125;0,77815125;coffee
mccoi;0;6;2;0,77815125;0,77815125;bop
rios;0;6;19;0,77815125;0,77815125;reserves
dafflisio;0;6;24;0,77815125;0,77815125;veg-oil
pentagon;0;6;23;0,77815125;0,77815125;trade
vieux;0;6;9;0,77815125;0,77815125;earn
prefix;0;6;9;0,77815125;0,77815125;earn
unprofit;0;6;22;0,77815125;0,77815125;sugar
bird;0;6;16;0,77815125;0,77815125;money-supply
kaul;0;6;6;0,77815125;0,77815125;cpi
perish;0;6;5;0,77815125;0,77815125;corn
ctc;0;6;6;0,77815125;0,77815125;cpi
melicia;0;6;6;0,77815125;0,77815125;cpi
palladium;0;6;2;0,77815125;0,77815125;bop
antara;0;6;1;0,77815125;0,77815125;acq
escalant;0;6;6;0,77815125;0,77815125;cpi
versatil;0;6;18;0,77815125;0,77815125;oilseed
lichtblau;0;6;24;0,77815125;0,77815125;veg-oil
atpc;0;6;7;0,77815125;0,77815125;crude
hemslei;0;6;25;0,77815125;0,77815125;wheat
imposed;0;6;5;0,77815125;0,77815125;corn
doe;0;6;24;0,77815125;0,77815125;veg-oil
klopfenstein;0;6;22;0,77815125;0,77815125;sugar
ted;0;6;24;0,77815125;0,77815125;veg-oil
countercycl;0;6;5;0,77815125;0,77815125;corn
concepcion;0;6;5;0,77815125;0,77815125;corn
garlem;0;6;22;0,77815125;0,77815125;sugar
gazet;0;6;1;0,77815125;0,77815125;acq
nativ;0;6;24;0,77815125;0,77815125;veg-oil
bhpgm;0;6;2;0,77815125;0,77815125;bop
underwrit;0;6;9;0,77815125;0,77815125;earn
patterns;0;6;14;0,77815125;0,77815125;livestock
miscellan;0;6;5;0,77815125;0,77815125;corn
amcor;0;6;10;0,77815125;0,77815125;gnp
villanueva;0;6;19;0,77815125;0,77815125;reserves
groundnutse;0;6;1;0,77815125;0,77815125;acq
giorgio;0;6;10;0,77815125;0,77815125;gnp
dormanc;0;6;19;0,77815125;0,77815125;reserves
flowing;0;6;13;0,77815125;0,77815125;interest
sick;0;6;12;0,77815125;0,77815125;grain
siew;0;6;19;0,77815125;0,77815125;reserves
napm;0;6;12;0,77815125;0,77815125;grain
paz;0;6;4;0,77815125;0,77815125;coffee
ppo;0;6;1;0,77815125;0,77815125;acq
deter;0;6;12;0,77815125;0,77815125;grain
unload;0;6;25;0,77815125;0,77815125;wheat
bsm;0;6;7;0,77815125;0,77815125;crude
impetu;0;6;6;0,77815125;0,77815125;cpi
stone;0;6;12;0,77815125;0,77815125;grain
donat;0;6;5;0,77815125;0,77815125;corn
devel;0;6;12;0,77815125;0,77815125;grain
ford;0;6;10;0,77815125;0,77815125;gnp
markdollar;0;6;12;0,77815125;0,77815125;grain
venezuelan;0;6;24;0,77815125;0,77815125;veg-oil
influences;0;6;12;0,77815125;0,77815125;grain
solubl;0;6;6;0,77815125;0,77815125;cpi
sumatra;0;6;1;0,77815125;0,77815125;acq
interlink;0;6;10;0,77815125;0,77815125;gnp
horner;0;6;4;0,77815125;0,77815125;coffee
androsch;0;6;12;0,77815125;0,77815125;grain
cigra;0;6;19;0,77815125;0,77815125;reserves
chaco;0;6;19;0,77815125;0,77815125;reserves
seaforth;0;6;25;0,77815125;0,77815125;wheat
fahd;0;6;23;0,77815125;0,77815125;trade
duties;0;6;5;0,77815125;0,77815125;corn
cocoas;0;6;7;0,77815125;0,77815125;crude
kaysersberg;0;6;10;0,77815125;0,77815125;gnp
gurria;0;6;3;0,77815125;0,77815125;cocoa
shoup;0;6;24;0,77815125;0,77815125;veg-oil
wifo;0;6;12;0,77815125;0,77815125;grain
lpg;0;6;24;0,77815125;0,77815125;veg-oil
rupiah;0;6;1;0,77815125;0,77815125;acq
lng;0;6;24;0,77815125;0,77815125;veg-oil
reintegro;0;6;6;0,77815125;0,77815125;cpi
yemen;0;6;16;0,77815125;0,77815125;money-supply
mulligan;0;6;10;0,77815125;0,77815125;gnp
ragged;0;6;12;0,77815125;0,77815125;grain
countertrading;0;6;6;0,77815125;0,77815125;cpi
leach;0;6;2;0,77815125;0,77815125;bop
mamman;0;6;12;0,77815125;0,77815125;grain
stenholm;0;5;5;0,698970004;0,698970004;corn
